,CODE,STATION NAME,RAILWAY ZONE,STATION ADDRESS
238,ANB,AMMANABROLU,SCR,"Prakasam, Andhra Pradesh, India"
239,ANC,ANNECHAKANAHALLI H,SWR,"Panchanahalli, Karnataka, India"
240,ANCR,ANCHURI P H,SER,"Anchuri, West Bengal 722102, India"
241,AND,ANDAMPALLAM,SR,"Andampallam, Tamil Nadu, India"
242,ANDI,ADRSH NGR DELHI,NR,"New Delhi, Delhi 110052, India"
243,ANDN,ANAND NAGAR,NER,"Anand Nagar, Uttar Pradesh, India"
244,ANE,ANANTARAJUPET,SCR,"Anantapur, Andhra Pradesh, India"
245,ANF,ANANDAPURAM,SWR,"Anandapuram, Kerala, India"
246,ANG,AHMADNAGAR,CR,"Ahmednagar Railway Station, Ahmednagar.."
247,ANGL,ANGUL,ECOR,"Railway Colony, Angul, Orissa, India"
248,ANGM,AUNGARIDHAM H,ECR,"Lane, Gomhar, Bihar 801301, India"
249,ANGR,ANGADGERI H,SWR,"Angadgeri Halt Station, Karnataka, India"
250,ANH,ANKORAH AKORHA,ECR,"Aurangabad, Bihar, India"
251,ANI,AJANTI,WR,"State Highway 15, Khandwa, Madhya Prad.."
252,ANJE,ANGARPATHRA H,ECR,"Jharkhand 828113, India"
253,ANK,ANKAI,CR,"Savkhede, Maharashtra 423403, India"
254,ANKL,ANKOLA,KR,"Ankola, Karnataka, India"
255,ANKX,ANKAI,SCR,
256,ANM,ANAIMALAI ROAD,SR,"Subbe Gounden Pudur, Tamil Nadu 642103.."
257,ANMD,ARANG MAHANADI,ECOR,"Arang, Chhattisgarh, India"
258,ANMP,ARJUN NAGAR HALT,ER,"Mathurapur, Jharkhand, India"
259,ANND,ANAND JN,WR,"Anand, Gujarat, India"
260,ANNR,ANNANUR,SR,"Jyothi Nagar, Annanur, Ambattur, Tamil.."
261,ANO,ANJANI,KR,"Ratnagiri, Maharashtra, India"
262,ANP,ANANDTANDAVPUR,SR,"Anandpur Sahib Railway Station, State .."
263,ANPR,ANPARA,ECR,"Anpara, Uttar Pradesh, India"
264,ANQ,AMNAPUR,CR,"Nagpur, Maharashtra, India"
265,ANR,ANARA,SER,"Purulia, West Bengal, India"
266,ANSB,ANANDPUR SAHIB,NR,"Anandpur Sahib, Punjab, India"
267,ANT,ANANTNAG,NR,Anantnag
268,ANU,ANANGUR,SR,"Anangur, Tamil Nadu, India"
269,ANV,ANNAVARAM,SCR,"Annavaram Railway Station, Andhra Prad.."
270,ANVR,ANAND VIHAR,NR,"Karkardooma, New Delhi, Delhi, India"
271,ANVT,ANAND VIHAR TRM,NR,"Anand Vihar Railway Station, Anand Vih.."
272,ANW,ANAVAL,WR,"Anaval St, Thiruvananthapuram, Kerala,.."
273,ANY,ARUMUGANERI,SR,"Arumuganeri, Tamil Nadu, India"
274,AO,AONLA,NR,"Bareilly, Uttar Pradesh, India"
275,AON,ARAON,NCR,"Araon Rd, Sirsaganj, Uttar Pradesh, In.."
276,AONI,AMONI,NFR,"SH 17, Nonoi Village, Assam 782138, In.."
277,AOR,ARGORA P H,SER,"Argora, Ranchi, Jharkhand, India"
278,AP,ASHOKAPURAM,SWR,"Ashokapuram Railway Station, Mysore, K.."
279,APA,AMARPURA,NWR,"Ajmer, Rajasthan, India"
280,APB,ANUPPAMBATTU,SR,"Anuppanadi, Madurai, Tamil Nadu, India"
281,APD,ALIPUR DUAR,NFR,"Alipurduar, West Bengal, India"
282,APDC,ALIPUR DUAR COURT,NFR,"Alipurduar, West Bengal, India"
283,APDJ,ALIPUR DUAR JN,NFR,"Jalpaiguri, West Bengal, India"
284,APE,ANDANAPETTAI,SR,"Andanappettai, Manjakkollai, Nagapatti.."
285,APG,ANUPGANJ,NR,"Daudpur Saidapur, Uttar Pradesh 226501.."
286,APH,ANUPGARH,NWR,"Anupgarh, Rajasthan, India"
287,API,AKKARAIPATTI,SR,"Kuthathupatti, Tamil Nadu, India"
288,APJ,AMARPUR JORASI,NWR,"123023, India"
289,APK,ARUPPUKKOTTAI,SR,"Vasantham Nagar, Aruppukkottai, Tamil .."
290,APKH,ASANPUR KUPHA HALT,ECR,"Bihar 852105, India"
291,APL,APPIKATLA,SCR,"Appikatla, Andhra Pradesh, India"
292,APMR,APPAIPALLY,SCR,"Begumpet, Telangana 502334, India"
293,APN,AYODHYAPATTANAM,SR,"Salem, Tamil Nadu, India"
294,APP,AMBAPENDARPUR H,ECR,"Bihar 803119, India"
295,APR,ANUPPUR JN,SECR,"Anuppur Railway Station, Anuppur, Madh.."
296,APRD,APURVA PH,SER,"721423, India"
297,APRH,ALEHPUR HALT,NER,"Bihar 841413, India"
298,APT,ANAPARTI,SCR,"Balabhadhrapuram, Andhra Pradesh, India"
299,APTA,APTA,CR,"Maharashtra 410207, India"
300,APU,ANIPUR,NFR,"Manipur, India"
301,AQG,ASHAPURA GOMAT,NWR,"Rajasthan, India"
302,ARA,ARA,ECR,"Anaith, Arrah, Bihar, India"
303,ARAG,ARAG,CR,"Maharashtra, India"
304,ARCL,ARUNACHAL,NFR,"Tarapur Pt I, Assam, India"
305,ARD,AMARDA ROAD,SER,"Amarda Rd, Odisha, India"
306,ARE,ARNETHA,WCR,"Bundi, Rajasthan, India"
307,ARG,ANGAR GHAT,ECR,"Samastipur, Bihar, India"
308,ARGD,ARIGADA,ECR,"Argada Station Rd, Jharkhand 829101, I.."
309,ARGL,ARGUL PH,ECOR,"Barunei Pitha Bus Stop, National Highw.."
310,ARGP,ARALAGUPPE H,SWR,"Attiguppe, Bangalore, Karnataka, India"
311,ARH,AMHERA H,NR,"Amhera, Uttar Pradesh, India"
312,ARI,ANTRI,NCR,"Antri, Madhya Pradesh, India"
313,ARJ,AUNRIHAR JN,NER,"Aunrihar Junction Railway Station, Utt.."
314,ARK,ARAKKU,ECOR,"Vishakhapatnam, Andhra Pradesh, India"
315,ARKA,ARKHA H,NR,"Rae Bareli, Uttar Pradesh, India"
316,ARL,ARAUL MAKANPUR,NER,"Araul, Uttar Pradesh, India"
317,ARMU,ARMUR,SCR,"Armoor, NH44, Armoor, Telangana 503224.."
318,ARN,ARAND,ECOR,"Mahasamund, Chhattisgarh, India"
319,ARNA,ARNIA,NWR,"Chandanwas, Rajasthan 303313, India"
320,ARNB,AMARUN,ER,"Arra, West Bengal, India"
321,ARNG,ARUN NAGAR H,SECR,"Arun Nagar, Kapra, Secunderabad, Andhr.."
322,ARNH,ARJUNAHALLI H,SWR,"Arjunahalli Railway Station, Karnataka.."
323,AROR,AROOR,SR,"Aroor, Kerala, India"
324,ARP,ATRAMPUR,NR,"Uttar Pradesh, India"
325,ARPL,AREPALLI H,SCR,"Arepalli, Andhra Pradesh, India"
326,ARPR,ALIRAJPUR,WR,"Saija, Madhya Pradesh 457887, India"
327,ARQ,ARARIYA COURT,NFR,"Araria, Bihar, India"
328,ARR,ARARIYA,NFR,"Araria, Bihar, India"
329,ARU,ARASALU H,SWR,"Arasalu, Karnataka, India"
330,ARV,ARNI ROAD,SR,"Illuppakunam Road, Kalambur, Tamil Nad.."
331,ARX,ARELI H,NER,"Shahjahanpur, Uttar Pradesh, India"
332,AS,ARJANSAR,NWR,"Bikaner, Rajasthan, India"
333,ASAF,ASIFABAD ROAD,SCR,"Adilabad, Andhra Pradesh, India"
334,ASAN,ASAN,NR,"Assam, India"
335,ASAR,ASRA HALT,NR,"Bagpat, Uttar Pradesh, India"
336,ASB,ASANBONI,SER,"East Singhbhum, Jharkhand, India"
337,ASCE,ATHSARAI,NCR,"Uttar Pradesh, India"
338,ASD,AMBASAMUDRAM,SR,"Ambasamudram Railway Station, Tirunelv.."
339,ASE,ASAUDAH,NR,"Asaudah, Loharheri, Haryana, India"
340,ASH,AISHBAGH,NER,"Aishbagh Railway Station, Malviya Naga.."
341,ASI,ARSENI,NR,"Hardoi, Uttar Pradesh, India"
342,ASJP,AMAR SAHEED J P H,ECR,"Bhojpur, Bihar, India"
343,ASK,ARSIKERE JN,SWR,"Arsikere Junction Railway Station, Ars.."
344,ASKN,ASHOK NAGAR,WCR,"Ashoknagar Railway Station, Station Ro.."
345,ASKR,ASHOKNAGAR ROAD,ER,"Mohari Road, Ashoknagar, Madhya Prades.."
346,ASL,ASLAODA,WR,"Ujjain, Madhya Pradesh, India"
347,ASLU,ASLU,NWR,"Churu, Rajasthan, India"
348,ASN,ASANSOL JN,ER,"Asansol Junction Railway Station, Asan.."
349,ASO,ASANGAON,CR,"Asangaon, Maharashtra, India"
350,ASP,ASPARI,SCR,"Aspari, Andhra Pradesh, India"
351,ASR,AMRITSAR JN,NR,"Amritsar Junction Railway Station, Put.."
352,AST,ASAOTI,NR,"Asaoti, Haryana, India"
353,ASTG,ASTEGAON,CR,"Rohnala, Maharashtra 444905, India"
354,ASV,ASARVA JN,WR,"Asarwa, Ahmedabad, Gujarat, India"
355,AT,ASNOTI,KR,"State Highway 34, Karnataka, India"
356,ATA,ATA,NCR,"Aata, Uttar Pradesh 285202, India"
357,ATB,ALATTAMBADI,SR,"Thatchambadi, Tamil Nadu, India"
358,ATC,ARTS COLLEGE,SCR,"Boudha Nagar Bus Stop, Boudha Nagar, B.."
359,ATDA,ATLADARA,WR,"Atladara, Vadodara, Gujarat, India"
360,ATE,ATARRA,NCR,"Atarra Railway Station, Atarra, Uttar .."
361,ATG,ATGAON,CR,"Atgaon, Maharashtra, India"
362,ATH,ANTAH,WCR,"Antah, Rajasthan, India"
363,ATKS,ATWA KURSATH,NR,"Hardoi, Uttar Pradesh, India"
364,ATL,ATHMAL GOLA,ECR,"Ramnagar Korari Kochhar, Bihar 803211,.."
365,ATM,ALTAGRAM,NFR,"Jalpaiguri, West Bengal, India"
366,ATMO,AITHAL,NR,"Uttarakhand, India"
367,ATNR,AWATARNAGAR,ECR,"Awatarnagar Railway Station, Bihar, In.."
368,ATP,ANANTAPUR,SCR,"Anantapur Railway Station, Anantapur, .."
369,ATPA,AWANTIPURA,NR,Awantipura
